機種,カテゴリ,症状,修理料金,所要時間,類似
iPhone XS Max,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,12800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone XS Max,バッテリー交換,電池の減りが早い（バッテリー交換）,6800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone XS Max,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone XS Max,充電ポート修理,充電口修理（差し込み不良・充電できない）,11800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone XS Max,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,10800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone XS Max,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone XS Max,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone XS Max,データ復旧,データ復旧（電源が入らない・基板修理）,29800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone XS,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,11800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone XS,バッテリー交換,電池の減りが早い（バッテリー交換）,6800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone XS,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone XS,充電ポート修理,充電口修理（差し込み不良・充電できない）,11800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone XS,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,10800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone XS,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone XS,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone XS,データ復旧,データ復旧（電源が入らない・基板修理）,29800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone XR,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,11800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone XR,バッテリー交換,電池の減りが早い（バッテリー交換）,6800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone XR,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone XR,充電ポート修理,充電口修理（差し込み不良・充電できない）,11800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone XR,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,10800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone XR,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone XR,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone XR,データ復旧,データ復旧（電源が入らない・基板修理）,29800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone X,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,11800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone X,バッテリー交換,電池の減りが早い（バッテリー交換）,6800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone X,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone X,充電ポート修理,充電口修理（差し込み不良・充電できない）,11800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone X,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,10800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone X,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone X,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone X,データ復旧,データ復旧（電源が入らない・基板修理）,29800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone SE（第3世代）,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,8800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone SE（第3世代）,バッテリー交換,電池の減りが早い（バッテリー交換）,7800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone SE（第3世代）,ホームボタン修理,ホームボタンが効かない（故障）,11800,60分,#ホームが効かない #反応しない #戻るボタン使えない
iPhone SE（第3世代）,充電ポート修理,充電口修理（差し込み不良・充電できない）,11800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone SE（第3世代）,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,7800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone SE（第3世代）,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone SE（第3世代）,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone SE（第3世代）,データ復旧,データ復旧（電源が入らない・基板修理）,35800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone SE（第2世代）,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,8800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone SE（第2世代）,バッテリー交換,電池の減りが早い（バッテリー交換）,5800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone SE（第2世代）,ホームボタン修理,ホームボタンが効かない（故障）,11800,60分,#ホームが効かない #反応しない #戻るボタン使えない
iPhone SE（第2世代）,充電ポート修理,充電口修理（差し込み不良・充電できない）,11800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone SE（第2世代）,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,7800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone SE（第2世代）,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone SE（第2世代）,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone SE（第2世代）,データ復旧,データ復旧（電源が入らない・基板修理）,25800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone SE,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,8800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone SE,バッテリー交換,電池の減りが早い（バッテリー交換）,5800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone SE,ホームボタン修理,ホームボタンが効かない（故障）,9800,60分,#ホームが効かない #反応しない #戻るボタン使えない
iPhone SE,充電ポート修理,充電口修理（差し込み不良・充電できない）,9800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone SE,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,9800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone SE,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone SE,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone SE,データ復旧,データ復旧（電源が入らない・基板修理）,25800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 8 Plus,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,8800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 8 Plus,バッテリー交換,電池の減りが早い（バッテリー交換）,5800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 8 Plus,ホームボタン修理,ホームボタンが効かない（故障）,10800,60分,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 8 Plus,充電ポート修理,充電口修理（差し込み不良・充電できない）,10800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 8 Plus,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,9800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 8 Plus,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 8 Plus,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 8 Plus,データ復旧,データ復旧（電源が入らない・基板修理）,25800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 8,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,8800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 8,バッテリー交換,電池の減りが早い（バッテリー交換）,5800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 8,ホームボタン修理,ホームボタンが効かない（故障）,10800,60分,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 8,充電ポート修理,充電口修理（差し込み不良・充電できない）,10800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 8,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,7800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 8,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 8,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 8,データ復旧,データ復旧（電源が入らない・基板修理）,25800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 7 Plus,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,8800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 7 Plus,バッテリー交換,電池の減りが早い（バッテリー交換）,5800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 7 Plus,ホームボタン修理,ホームボタンが効かない（故障）,10800,60分,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 7 Plus,充電ポート修理,充電口修理（差し込み不良・充電できない）,10800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 7 Plus,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,9800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 7 Plus,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 7 Plus,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 7 Plus,データ復旧,データ復旧（電源が入らない・基板修理）,25800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 7,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,8800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 7,バッテリー交換,電池の減りが早い（バッテリー交換）,5800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 7,ホームボタン修理,ホームボタンが効かない（故障）,10800,60分,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 7,充電ポート修理,充電口修理（差し込み不良・充電できない）,10800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 7,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,7800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 7,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 7,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 7,データ復旧,データ復旧（電源が入らない・基板修理）,25800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 6S Plus,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,8800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 6S Plus,バッテリー交換,電池の減りが早い（バッテリー交換）,5800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 6S Plus,ホームボタン修理,ホームボタンが効かない（故障）,9800,60分,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 6S Plus,充電ポート修理,充電口修理（差し込み不良・充電できない）,9800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 6S Plus,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,9800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 6S Plus,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 6S Plus,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 6S Plus,データ復旧,データ復旧（電源が入らない・基板修理）,25800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 6S,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,8800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 6S,バッテリー交換,電池の減りが早い（バッテリー交換）,5800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 6S,ホームボタン修理,ホームボタンが効かない（故障）,9800,60分,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 6S,充電ポート修理,充電口修理（差し込み不良・充電できない）,9800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 6S,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,9800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 6S,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 6S,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 6S,データ復旧,データ復旧（電源が入らない・基板修理）,25800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 6 Plus,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,8800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 6 Plus,バッテリー交換,電池の減りが早い（バッテリー交換）,5800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 6 Plus,ホームボタン修理,ホームボタンが効かない（故障）,9800,60分,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 6 Plus,充電ポート修理,充電口修理（差し込み不良・充電できない）,9800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 6 Plus,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,9800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 6 Plus,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 6 Plus,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 6 Plus,データ復旧,データ復旧（電源が入らない・基板修理）,25800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 6,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,7800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 6,バッテリー交換,電池の減りが早い（バッテリー交換）,4800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 6,ホームボタン修理,ホームボタンが効かない（故障）,9800,60分,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 6,充電ポート修理,充電口修理（差し込み不良・充電できない）,9800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 6,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,9800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 6,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 6,基板洗浄,水没した・水に落とした（基板洗浄）,要問い合わせ,要問い合わせ,#水に落とした #水濡れ #起動しない #水没
iPhone 6,データ復旧,データ復旧（電源が入らない・基板修理）,25800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 5S,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,要問い合わせ,要問い合わせ,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 5S,バッテリー交換,電池の減りが早い（バッテリー交換）,要問い合わせ,要問い合わせ,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 5S,ホームボタン修理,ホームボタンが効かない（故障）,要問い合わせ,要問い合わせ,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 5S,充電ポート修理,充電口修理（差し込み不良・充電できない）,要問い合わせ,要問い合わせ,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 5S,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,要問い合わせ,要問い合わせ,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 5S,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 5S,基板洗浄,水没した・水に落とした（基板洗浄）,要問い合わせ,要問い合わせ,#水に落とした #水濡れ #起動しない #水没
iPhone 5S,データ復旧,データ復旧（電源が入らない・基板修理）,要問い合わせ,要問い合わせ,#電源が入らない #データだけ欲しい #基板破損
iPhone 5C,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,要問い合わせ,要問い合わせ,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 5C,バッテリー交換,電池の減りが早い（バッテリー交換）,要問い合わせ,要問い合わせ,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 5C,ホームボタン修理,ホームボタンが効かない（故障）,要問い合わせ,要問い合わせ,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 5C,充電ポート修理,充電口修理（差し込み不良・充電できない）,要問い合わせ,要問い合わせ,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 5C,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,要問い合わせ,要問い合わせ,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 5C,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 5C,基板洗浄,水没した・水に落とした（基板洗浄）,要問い合わせ,要問い合わせ,#水に落とした #水濡れ #起動しない #水没
iPhone 5C,データ復旧,データ復旧（電源が入らない・基板修理）,要問い合わせ,要問い合わせ,#電源が入らない #データだけ欲しい #基板破損
iPhone 5,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,要問い合わせ,要問い合わせ,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 5,バッテリー交換,電池の減りが早い（バッテリー交換）,要問い合わせ,要問い合わせ,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 5,ホームボタン修理,ホームボタンが効かない（故障）,要問い合わせ,要問い合わせ,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 5,充電ポート修理,充電口修理（差し込み不良・充電できない）,要問い合わせ,要問い合わせ,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 5,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,要問い合わせ,要問い合わせ,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 5,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 5,基板洗浄,水没した・水に落とした（基板洗浄）,要問い合わせ,要問い合わせ,#水に落とした #水濡れ #起動しない #水没
iPhone 5,データ復旧,データ復旧（電源が入らない・基板修理）,要問い合わせ,要問い合わせ,#電源が入らない #データだけ欲しい #基板破損
iPhone 4S,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,要問い合わせ,要問い合わせ,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 4S,バッテリー交換,電池の減りが早い（バッテリー交換）,要問い合わせ,要問い合わせ,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 4S,ホームボタン修理,ホームボタンが効かない（故障）,要問い合わせ,要問い合わせ,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 4S,充電ポート修理,充電口修理（差し込み不良・充電できない）,要問い合わせ,要問い合わせ,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 4S,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,要問い合わせ,要問い合わせ,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 4S,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 4S,基板洗浄,水没した・水に落とした（基板洗浄）,要問い合わせ,要問い合わせ,#水に落とした #水濡れ #起動しない #水没
iPhone 4S,データ復旧,データ復旧（電源が入らない・基板修理）,要問い合わせ,要問い合わせ,#電源が入らない #データだけ欲しい #基板破損
iPhone 4,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,要問い合わせ,要問い合わせ,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 4,バッテリー交換,電池の減りが早い（バッテリー交換）,要問い合わせ,要問い合わせ,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 4,ホームボタン修理,ホームボタンが効かない（故障）,要問い合わせ,要問い合わせ,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 4,充電ポート修理,充電口修理（差し込み不良・充電できない）,要問い合わせ,要問い合わせ,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 4,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,要問い合わせ,要問い合わせ,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 4,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 4,基板洗浄,水没した・水に落とした（基板洗浄）,要問い合わせ,要問い合わせ,#水に落とした #水濡れ #起動しない #水没
iPhone 4,データ復旧,データ復旧（電源が入らない・基板修理）,要問い合わせ,要問い合わせ,#電源が入らない #データだけ欲しい #基板破損
iPhone 16e,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,19800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 16e,バッテリー交換,電池の減りが早い（バッテリー交換）,15800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 16e,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 16e,充電ポート修理,充電口修理（差し込み不良・充電できない）,21800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 16e,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,21800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 16e,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 16e,基板洗浄,水没した・水に落とした（基板洗浄）,21800,60分,#水に落とした #水濡れ #起動しない #水没
iPhone 16e,データ復旧,データ復旧（電源が入らない・基板修理）,39800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 16 Pro Max,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,39800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 16 Pro Max,バッテリー交換,電池の減りが早い（バッテリー交換）,19800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 16 Pro Max,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 16 Pro Max,充電ポート修理,充電口修理（差し込み不良・充電できない）,29800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 16 Pro Max,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,26800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 16 Pro Max,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 16 Pro Max,基板洗浄,水没した・水に落とした（基板洗浄）,26800,60分,#水に落とした #水濡れ #起動しない #水没
iPhone 16 Pro Max,データ復旧,データ復旧（電源が入らない・基板修理）,39800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 16 Pro ,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,34800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 16 Pro ,バッテリー交換,電池の減りが早い（バッテリー交換）,19800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
