機種,カテゴリ,症状,修理料金,所要時間,類似
iPhone 16 Pro ,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 16 Pro ,充電ポート修理,充電口修理（差し込み不良・充電できない）,24800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 16 Pro ,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,25800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 16 Pro ,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 16 Pro ,基板洗浄,水没した・水に落とした（基板洗浄）,25800,60分,#水に落とした #水濡れ #起動しない #水没
iPhone 16 Pro ,データ復旧,データ復旧（電源が入らない・基板修理）,39800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 16 Plus ,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,29800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 16 Plus ,バッテリー交換,電池の減りが早い（バッテリー交換）,要問い合わせ,要問い合わせ,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 16 Plus ,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 16 Plus ,充電ポート修理,充電口修理（差し込み不良・充電できない）,要問い合わせ,要問い合わせ,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 16 Plus ,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,要問い合わせ,要問い合わせ,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 16 Plus ,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 16 Plus ,基板洗浄,水没した・水に落とした（基板洗浄）,要問い合わせ,要問い合わせ,#水に落とした #水濡れ #起動しない #水没
iPhone 16 Plus ,データ復旧,データ復旧（電源が入らない・基板修理）,39800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 16,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,28800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 16,バッテリー交換,電池の減りが早い（バッテリー交換）,15800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 16,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 16,充電ポート修理,充電口修理（差し込み不良・充電できない）,要問い合わせ,要問い合わせ,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 16,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,22800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 16,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 16,基板洗浄,水没した・水に落とした（基板洗浄）,22800,60分,#水に落とした #水濡れ #起動しない #水没
iPhone 16,データ復旧,データ復旧（電源が入らない・基板修理）,39800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 15 Pro Max,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,29800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 15 Pro Max,バッテリー交換,電池の減りが早い（バッテリー交換）,12800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 15 Pro Max,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 15 Pro Max,充電ポート修理,充電口修理（差し込み不良・充電できない）,20800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 15 Pro Max,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,21800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 15 Pro Max,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 15 Pro Max,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 15 Pro Max,データ復旧,データ復旧（電源が入らない・基板修理）,39800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 15 Pro ,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,27800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 15 Pro ,バッテリー交換,電池の減りが早い（バッテリー交換）,12800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 15 Pro ,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 15 Pro ,充電ポート修理,充電口修理（差し込み不良・充電できない）,20800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 15 Pro ,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,21800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 15 Pro ,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 15 Pro ,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 15 Pro ,データ復旧,データ復旧（電源が入らない・基板修理）,39800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 15 Plus,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,25800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 15 Plus,バッテリー交換,電池の減りが早い（バッテリー交換）,12800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 15 Plus,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 15 Plus,充電ポート修理,充電口修理（差し込み不良・充電できない）,20800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 15 Plus,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,19800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 15 Plus,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 15 Plus,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 15 Plus,データ復旧,データ復旧（電源が入らない・基板修理）,39800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 15,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,23800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 15,バッテリー交換,電池の減りが早い（バッテリー交換）,12800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 15,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 15,充電ポート修理,充電口修理（差し込み不良・充電できない）,19800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 15,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,19800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 15,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 15,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 15,データ復旧,データ復旧（電源が入らない・基板修理）,35800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 14 Pro Max,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,24800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 14 Pro Max,バッテリー交換,電池の減りが早い（バッテリー交換）,12800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 14 Pro Max,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 14 Pro Max,充電ポート修理,充電口修理（差し込み不良・充電できない）,18800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 14 Pro Max,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,18800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 14 Pro Max,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 14 Pro Max,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 14 Pro Max,データ復旧,データ復旧（電源が入らない・基板修理）,35800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 14 Pro ,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,22800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 14 Pro ,バッテリー交換,電池の減りが早い（バッテリー交換）,12800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 14 Pro ,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 14 Pro ,充電ポート修理,充電口修理（差し込み不良・充電できない）,18800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 14 Pro ,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,18800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 14 Pro ,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 14 Pro ,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 14 Pro ,データ復旧,データ復旧（電源が入らない・基板修理）,35800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 14 Plus,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,19800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 14 Plus,バッテリー交換,電池の減りが早い（バッテリー交換）,12800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 14 Plus,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 14 Plus,充電ポート修理,充電口修理（差し込み不良・充電できない）,17800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 14 Plus,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,18800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 14 Plus,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 14 Plus,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 14 Plus,データ復旧,データ復旧（電源が入らない・基板修理）,35800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 14,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,19800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 14,バッテリー交換,電池の減りが早い（バッテリー交換）,12800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 14,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 14,充電ポート修理,充電口修理（差し込み不良・充電できない）,17800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 14,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,18800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 14,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 14,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 14,データ復旧,データ復旧（電源が入らない・基板修理）,35800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 13 Pro Max,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,27800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 13 Pro Max,バッテリー交換,電池の減りが早い（バッテリー交換）,9800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 13 Pro Max,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 13 Pro Max,充電ポート修理,充電口修理（差し込み不良・充電できない）,16800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 13 Pro Max,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,17800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 13 Pro Max,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 13 Pro Max,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 13 Pro Max,データ復旧,データ復旧（電源が入らない・基板修理）,35800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 13 Pro ,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,24800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 13 Pro ,バッテリー交換,電池の減りが早い（バッテリー交換）,9800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 13 Pro ,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 13 Pro ,充電ポート修理,充電口修理（差し込み不良・充電できない）,16800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 13 Pro ,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,17800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 13 Pro ,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 13 Pro ,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 13 Pro ,データ復旧,データ復旧（電源が入らない・基板修理）,35800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 13 mini,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,24800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 13 mini,バッテリー交換,電池の減りが早い（バッテリー交換）,8800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 13 mini,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 13 mini,充電ポート修理,充電口修理（差し込み不良・充電できない）,15800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 13 mini,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,14800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 13 mini,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 13 mini,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 13 mini,データ復旧,データ復旧（電源が入らない・基板修理）,35800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 13,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,19800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 13,バッテリー交換,電池の減りが早い（バッテリー交換）,8800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 13,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 13,充電ポート修理,充電口修理（差し込み不良・充電できない）,15800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 13,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,14800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 13,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 13,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 13,データ復旧,データ復旧（電源が入らない・基板修理）,35800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 12 Pro Max,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,19800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 12 Pro Max,バッテリー交換,電池の減りが早い（バッテリー交換）,8800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 12 Pro Max,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 12 Pro Max,充電ポート修理,充電口修理（差し込み不良・充電できない）,16800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 12 Pro Max,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,17800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 12 Pro Max,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 12 Pro Max,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 12 Pro Max,データ復旧,データ復旧（電源が入らない・基板修理）,33800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 12 Pro ,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,15800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 12 Pro ,バッテリー交換,電池の減りが早い（バッテリー交換）,7800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 12 Pro ,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 12 Pro ,充電ポート修理,充電口修理（差し込み不良・充電できない）,16800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 12 Pro ,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,17800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 12 Pro ,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 12 Pro ,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 12 Pro ,データ復旧,データ復旧（電源が入らない・基板修理）,33800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 12 mini,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,16800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 12 mini,バッテリー交換,電池の減りが早い（バッテリー交換）,7800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 12 mini,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 12 mini,充電ポート修理,充電口修理（差し込み不良・充電できない）,15800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 12 mini,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,12800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 12 mini,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 12 mini,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 12 mini,データ復旧,データ復旧（電源が入らない・基板修理）,33800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 12,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,15800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 12,バッテリー交換,電池の減りが早い（バッテリー交換）,7800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 12,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 12,充電ポート修理,充電口修理（差し込み不良・充電できない）,15800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 12,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,12800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 12,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 12,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 12,データ復旧,データ復旧（電源が入らない・基板修理）,33800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 11 Pro Max,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,13800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 11 Pro Max,バッテリー交換,電池の減りが早い（バッテリー交換）,7800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 11 Pro Max,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 11 Pro Max,充電ポート修理,充電口修理（差し込み不良・充電できない）,15800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 11 Pro Max,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,12800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 11 Pro Max,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 11 Pro Max,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 11 Pro Max,データ復旧,データ復旧（電源が入らない・基板修理）,33800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 11 Pro ,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,12800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 11 Pro ,バッテリー交換,電池の減りが早い（バッテリー交換）,7800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 11 Pro ,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 11 Pro ,充電ポート修理,充電口修理（差し込み不良・充電できない）,15800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 11 Pro ,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,12800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 11 Pro ,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 11 Pro ,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 11 Pro ,データ復旧,データ復旧（電源が入らない・基板修理）,33800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone 11,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,11800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone 11,バッテリー交換,電池の減りが早い（バッテリー交換）,6800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone 11,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone 11,充電ポート修理,充電口修理（差し込み不良・充電できない）,12800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone 11,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,12800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone 11,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone 11,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone 11,データ復旧,データ復旧（電源が入らない・基板修理）,33800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
